2026-08-06 23:57:40,031 | CAMERA_MANAGER | INFO | Sent frame 62 from c4
2026-08-06 23:57:40,170 | CAMERA_MANAGER | INFO | Sent frame 59 from c2
2026-08-06 23:57:40,183 | CAMERA_MANAGER | INFO | Sent frame 62 from c3
2026-08-06 23:57:40,231 | CAMERA_MANAGER | INFO | Sent frame 61 from c1
2026-08-06 23:57:40,282 | CAMERA_MANAGER | INFO | Sent frame 63 from c4
2026-08-06 23:57:40,404 | CAMERA_MANAGER | INFO | Sent frame 60 from c2
2026-08-06 23:57:40,434 | CAMERA_MANAGER | INFO | Sent frame 63 from c3
2026-08-06 23:57:40,482 | CAMERA_MANAGER | INFO | Sent frame 62 from c1
2026-08-06 23:57:40,535 | CAMERA_MANAGER | INFO | Sent frame 64 from c4
2026-08-06 23:57:40,657 | CAMERA_MANAGER | INFO | Sent frame 61 from c2
2026-08-06 23:57:40,684 | CAMERA_MANAGER | INFO | Sent frame 64 from c3
2026-08-06 23:57:40,733 | CAMERA_MANAGER | INFO | Sent frame 63 from c1
2026-08-06 23:57:40,784 | CAMERA_MANAGER | INFO | Sent frame 65 from c4
2026-08-06 23:57:40,906 | CAMERA_MANAGER | INFO | Sent frame 62 from c2
2026-08-06 23:57:40,936 | CAMERA_MANAGER | INFO | Sent frame 65 from c3
2026-08-06 23:57:40,984 | CAMERA_MANAGER | INFO | Sent frame 64 from c1
2026-08-06 23:57:41,035 | CAMERA_MANAGER | INFO | Sent frame 66 from c4
2026-08-06 23:57:41,156 | CAMERA_MANAGER | INFO | Sent frame 63 from c2
2026-08-06 23:57:41,188 | CAMERA_MANAGER | INFO | Sent frame 66 from c3
2026-08-06 23:57:41,235 | CAMERA_MANAGER | INFO | Sent frame 65 from c1
2026-08-06 23:57:41,302 | CAMERA_MANAGER | INFO | Sent frame 67 from c4
2026-08-06 23:57:41,481 | CAMERA_MANAGER | INFO | Sent frame 67 from c3
2026-08-06 23:57:41,521 | CAMERA_MANAGER | INFO | Sent frame 66 from c1
2026-08-06 23:57:41,529 | CAMERA_MANAGER | INFO | Sent frame 64 from c2
2026-08-06 23:57:41,555 | CAMERA_MANAGER | INFO | Sent frame 68 from c4
2026-08-06 23:57:41,675 | CAMERA_MANAGER | INFO | Sent frame 65 from c2
2026-08-06 23:57:41,727 | CAMERA_MANAGER | INFO | Sent frame 68 from c3
2026-08-06 23:57:41,754 | CAMERA_MANAGER | INFO | Sent frame 67 from c1
2026-08-06 23:57:41,788 | CAMERA_MANAGER | INFO | Sent frame 69 from c4
2026-08-06 23:57:41,941 | CAMERA_MANAGER | INFO | Sent frame 66 from c2
2026-08-06 23:57:41,949 | CAMERA_MANAGER | INFO | Sent frame 69 from c3
2026-08-06 23:57:41,987 | CAMERA_MANAGER | INFO | Sent frame 68 from c1
2026-08-06 23:57:42,039 | CAMERA_MANAGER | INFO | Sent frame 70 from c4
2026-08-06 23:57:42,177 | CAMERA_MANAGER | INFO | Sent frame 67 from c2
2026-08-06 23:57:42,192 | CAMERA_MANAGER | INFO | Sent frame 70 from c3
2026-08-06 23:57:42,237 | CAMERA_MANAGER | INFO | Sent frame 69 from c1
2026-08-06 23:57:42,290 | CAMERA_MANAGER | INFO | Sent frame 71 from c4
2026-08-06 23:57:42,428 | CAMERA_MANAGER | INFO | Sent frame 68 from c2
2026-08-06 23:57:42,441 | CAMERA_MANAGER | INFO | Sent frame 71 from c3
2026-08-06 23:57:42,488 | CAMERA_MANAGER | INFO | Sent frame 70 from c1
2026-08-06 23:57:42,542 | CAMERA_MANAGER | INFO | Sent frame 72 from c4
2026-08-06 23:57:42,660 | CAMERA_MANAGER | INFO | Sent frame 69 from c2
2026-08-06 23:57:42,691 | CAMERA_MANAGER | INFO | Sent frame 72 from c3
2026-08-06 23:57:42,739 | CAMERA_MANAGER | INFO | Sent frame 71 from c1
2026-08-06 23:57:42,792 | CAMERA_MANAGER | INFO | Sent frame 73 from c4
2026-08-06 23:57:42,924 | CAMERA_MANAGER | INFO | Sent frame 70 from c2
2026-08-06 23:57:42,942 | CAMERA_MANAGER | INFO | Sent frame 73 from c3
2026-08-06 23:57:42,989 | CAMERA_MANAGER | INFO | Sent frame 72 from c1
2026-08-06 23:57:43,043 | CAMERA_MANAGER | INFO | Sent frame 74 from c4
2026-08-06 23:57:43,178 | CAMERA_MANAGER | INFO | Sent frame 71 from c2
2026-08-06 23:57:43,193 | CAMERA_MANAGER | INFO | Sent frame 74 from c3
2026-08-06 23:57:43,242 | CAMERA_MANAGER | INFO | Sent frame 73 from c1
2026-08-06 23:57:43,293 | CAMERA_MANAGER | INFO | Sent frame 75 from c4
2026-08-06 23:57:43,414 | CAMERA_MANAGER | INFO | Sent frame 72 from c2
2026-08-06 23:57:43,443 | CAMERA_MANAGER | INFO | Sent frame 75 from c3
2026-08-06 23:57:43,508 | CAMERA_MANAGER | INFO | Sent frame 74 from c1
2026-08-06 23:57:43,545 | CAMERA_MANAGER | INFO | Sent frame 76 from c4
2026-08-06 23:57:43,686 | CAMERA_MANAGER | INFO | Sent frame 73 from c2
2026-08-06 23:57:43,696 | CAMERA_MANAGER | INFO | Sent frame 76 from c3
2026-08-06 23:57:43,744 | CAMERA_MANAGER | INFO | Sent frame 75 from c1
2026-08-06 23:57:43,795 | CAMERA_MANAGER | INFO | Sent frame 77 from c4
2026-08-06 23:57:43,930 | CAMERA_MANAGER | INFO | Sent frame 74 from c2
