2026-08-07 00:07:19,942 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:20,333 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:20,865 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:21,271 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:21,655 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:22,040 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:22,462 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:22,874 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:23,267 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:23,644 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:24,024 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:24,427 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:24,810 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:25,195 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:25,602 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:25,997 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:26,393 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:26,789 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:27,175 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:27,577 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:27,966 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:28,384 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:28,813 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:29,228 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:29,634 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:30,028 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:30,411 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:30,811 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:31,202 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:31,607 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:32,000 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:32,418 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:32,844 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:33,248 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:33,650 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:34,050 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:34,439 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:34,842 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:35,245 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:35,639 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:36,022 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:36,412 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:36,812 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:37,194 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:37,594 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:37,984 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:38,368 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:38,769 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:39,160 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:39,558 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:39,977 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:40,372 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:40,784 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:41,181 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:41,602 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:42,041 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:42,453 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:42,863 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:43,261 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:43,677 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:44,095 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:44,483 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:45,287 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:45,677 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:46,111 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:46,539 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:46,939 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:47,353 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:47,747 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:48,159 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:48,566 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:48,956 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:49,359 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:49,751 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:50,151 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:50,539 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:50,938 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:51,346 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:51,743 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:52,134 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:52,535 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:52,938 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:53,343 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:53,755 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:54,188 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:54,598 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:54,996 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:55,397 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:55,806 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:56,212 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:56,628 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:57,028 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:57,448 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:57,859 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:58,274 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:58,685 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:59,090 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:07:59,528 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:07:59,968 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:08:00,373 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:08:00,791 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:08:01,197 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:08:01,606 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:08:02,010 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:08:02,406 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:08:02,810 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:08:03,205 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:08:03,605 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:08:04,015 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:08:04,411 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:08:04,813 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:08:05,211 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:08:05,616 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:08:06,020 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:08:06,424 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:08:06,829 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:08:07,233 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:08:07,648 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:08:08,048 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:08:08,447 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:08:08,849 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:08:09,251 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:08:09,686 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:08:10,128 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:08:10,554 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:08:10,962 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:08:11,375 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:08:11,784 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:08:12,178 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:08:12,590 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:08:13,008 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:08:13,407 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:08:13,803 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:08:14,208 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:08:14,649 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:08:15,091 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:08:15,499 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:08:15,964 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:08:16,386 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:08:16,805 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:08:17,216 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:08:17,625 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:08:18,048 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:08:18,454 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:08:18,870 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
2026-08-07 00:08:19,285 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c4
2026-08-07 00:08:19,684 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:08:20,096 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:08:20,545 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c3
