2026-08-07 00:08:39,695 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:39,697 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:39,698 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:39,712 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:39,715 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:39,717 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:39,717 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:39,717 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:39,719 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:39,721 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:39,728 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:39,740 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:39,742 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:39,742 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:39,743 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:39,755 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:39,757 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:39,757 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:39,774 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:39,801 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:39,803 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:39,803 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:39,804 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:39,806 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:39,807 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:39,808 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
2026-08-07 00:08:39,820 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=True
2026-08-07 00:08:39,833 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:08:39,835 | ROI | INFO | Frame written to video -> CAM=c4 LABEL=Person
2026-08-07 00:08:39,835 | ROI | INFO | CAM=c4 LABEL=Person INSIDE_ROI=False
